transaction_id,customer_id,product_name,category,price,quantity,transaction_date,total_amount
TX100001,CUST1010,Laptop,Electronics,899.99,3,2026-03-03 08:57:18,2699.97
TX100002,CUST1032,Desk Chair,Furniture,134.99,1,2026-03-04 19:59:18,134.99
TX100003,CUST1194,Backpack,Accessories,35.99,3,2026-04-05 14:10:18,107.97
TX100004,CUST1026,Backpack,Accessories,33.99,2,2026-03-29 04:05:18,67.98
TX100005,CUST1038,Backpack,Accessories,39.99,1,2026-02-21 01:44:18,39.99
TX100006,CUST1196,Smartphone,Electronics,594.99,3,2026-04-03 15:50:18,1784.97
TX100007,CUST1007,Backpack,Accessories,39.99,2,2026-02-25 09:56:18,79.98
TX100008,CUST1076,Toaster,Appliances,25.49,2,2026-04-16 09:00:18,50.98
TX100009,CUST1073,Coffee Maker,Appliances,44.99,1,2026-05-05 20:21:18,44.99
TX100010,CUST1007,Toaster,Appliances,29.99,3,2026-04-26 14:36:18,89.97
TX100011,CUST1102,Laptop,Electronics,999.99,2,2026-04-25 03:05:18,1999.98
TX100012,CUST1197,Toaster,Appliances,26.99,2,2026-04-13 17:30:18,53.98
TX100013,CUST1134,Pen Set,Stationery,4.99,3,2026-05-08 08:20:18,14.97
TX100014,CUST1174,Backpack,Accessories,39.99,3,2026-04-07 15:53:18,119.97
TX100015,CUST1093,Pen Set,Stationery,4.99,2,2026-04-01 04:42:18,9.98
TX100016,CUST1196,Smartphone,Electronics,699.99,3,2026-03-07 04:08:18,2099.97
TX100017,CUST1054,Coffee Maker,Appliances,49.99,1,2026-02-22 13:08:18,49.99
TX100018,CUST1197,Toaster,Appliances,25.49,1,2026-02-28 23:01:18,25.49
TX100019,CUST1111,Notebook,Stationery,2.99,3,2026-02-21 01:46:18,8.97
TX100020,CUST1086,Laptop,Electronics,899.99,1,2026-04-25 06:31:18,899.99
TX100021,CUST1116,Pen Set,Stationery,4.24,3,2026-04-30 08:53:18,12.72
TX100022,CUST1200,Smartphone,Electronics,594.99,3,2026-05-09 02:54:18,1784.97
TX100023,CUST1140,Pen Set,Stationery,4.99,2,2026-05-12 21:52:18,9.98
TX100024,CUST1120,Laptop,Electronics,849.99,1,2026-04-03 22:03:18,849.99
TX100025,CUST1009,Toaster,Appliances,26.99,3,2026-05-21 02:32:18,80.97
TX100026,CUST1130,Notebook,Stationery,2.54,2,2026-04-07 04:45:18,5.08
TX100027,CUST1165,Coffee Maker,Appliances,49.99,3,2026-03-25 09:35:18,149.97
TX100028,CUST1088,Notebook,Stationery,2.69,1,2026-04-02 20:17:18,2.69
TX100029,CUST1148,Desk Chair,Furniture,149.99,3,2026-05-07 06:01:18,449.97
TX100030,CUST1050,Backpack,Accessories,35.99,3,2026-04-20 17:36:18,107.97
TX100031,CUST1159,Backpack,Accessories,39.99,2,2026-03-23 15:06:18,79.98
TX100032,CUST1087,Headphones,Electronics,80.99,2,2026-03-31 19:30:18,161.98
TX100033,CUST1157,Running Shoes,Apparel,71.99,1,2026-04-17 05:19:18,71.99
TX100034,CUST1170,Laptop,Electronics,849.99,2,2026-03-28 22:50:18,1699.98
TX100035,CUST1072,Running Shoes,Apparel,67.99,1,2026-02-21 02:27:18,67.99
TX100036,CUST1099,Toaster,Appliances,25.49,1,2026-05-18 13:36:18,25.49
TX100037,CUST1061,Headphones,Electronics,76.49,3,2026-04-05 18:20:18,229.47
TX100038,CUST1144,Headphones,Electronics,76.49,3,2026-03-18 17:02:18,229.47
TX100039,CUST1072,Desk Chair,Furniture,134.99,2,2026-05-16 00:36:18,269.98
TX100040,CUST1006,Pen Set,Stationery,4.24,3,2026-03-29 02:08:18,12.72
TX100041,CUST1159,Backpack,Accessories,35.99,3,2026-03-02 14:55:18,107.97
TX100042,CUST1102,Backpack,Accessories,33.99,1,2026-03-24 18:01:18,33.99
TX100043,CUST1151,Notebook,Stationery,2.54,2,2026-04-01 14:56:18,5.08
TX100044,CUST1016,Backpack,Accessories,33.99,3,2026-03-11 03:51:18,101.97
TX100045,CUST1189,Desk Chair,Furniture,149.99,1,2026-03-18 15:59:18,149.99
TX100046,CUST1042,Toaster,Appliances,25.49,3,2026-05-11 07:16:18,76.47
TX100047,CUST1141,Running Shoes,Apparel,79.99,1,2026-04-29 21:43:18,79.99
TX100048,CUST1105,Smartphone,Electronics,699.99,3,2026-05-19 16:33:18,2099.97
TX100049,CUST1142,Smartphone,Electronics,699.99,1,2026-03-13 01:24:18,699.99
TX100050,CUST1040,Laptop,Electronics,899.99,3,2026-03-25 02:27:18,2699.97
TX100051,CUST1039,Headphones,Electronics,80.99,3,2026-05-14 09:54:18,242.97
TX100052,CUST1008,Desk Chair,Furniture,134.99,2,2026-03-08 07:25:18,269.98
TX100053,CUST1148,Smartphone,Electronics,594.99,1,2026-03-28 11:47:18,594.99
TX100054,CUST1104,Toaster,Appliances,26.99,2,2026-04-16 13:30:18,53.98
TX100055,CUST1093,Laptop,Electronics,999.99,1,2026-02-26 06:20:18,999.99
TX100056,CUST1179,Coffee Maker,Appliances,42.49,1,2026-04-01 01:02:18,42.49
TX100057,CUST1164,Running Shoes,Apparel,79.99,3,2026-03-31 17:01:18,239.97
TX100058,CUST1067,Pen Set,Stationery,4.99,1,2026-05-01 23:11:18,4.99
TX100059,CUST1064,Desk Chair,Furniture,134.99,1,2026-04-19 06:13:18,134.99
TX100060,CUST1179,Toaster,Appliances,26.99,1,2026-05-05 15:46:18,26.99
TX100061,CUST1051,Laptop,Electronics,849.99,1,2026-04-05 01:05:18,849.99
TX100062,CUST1182,Running Shoes,Apparel,71.99,2,2026-04-29 14:59:18,143.98
TX100063,CUST1083,Toaster,Appliances,26.99,2,2026-04-10 10:14:18,53.98
TX100064,CUST1065,Pen Set,Stationery,4.49,3,2026-04-10 18:54:18,13.47
TX100065,CUST1134,Backpack,Accessories,35.99,2,2026-03-28 10:24:18,71.98
TX100066,CUST1042,Pen Set,Stationery,4.99,2,2026-05-14 11:54:18,9.98
TX100067,CUST1108,Smartphone,Electronics,699.99,1,2026-04-01 06:08:18,699.99
TX100068,CUST1088,Backpack,Accessories,35.99,2,2026-04-06 02:26:18,71.98
TX100069,CUST1134,Backpack,Accessories,33.99,2,2026-03-22 15:51:18,67.98
TX100070,CUST1031,Coffee Maker,Appliances,44.99,3,2026-03-25 04:40:18,134.97
TX100071,CUST1072,Backpack,Accessories,35.99,3,2026-03-30 14:43:18,107.97
TX100072,CUST1076,Desk Chair,Furniture,134.99,1,2026-03-22 22:23:18,134.99
TX100073,CUST1060,Laptop,Electronics,999.99,2,2026-04-25 15:52:18,1999.98
TX100074,CUST1158,Headphones,Electronics,89.99,2,2026-04-26 00:45:18,179.98
TX100075,CUST1170,Coffee Maker,Appliances,49.99,2,2026-05-11 15:23:18,99.98
TX100076,CUST1132,Running Shoes,Apparel,71.99,1,2026-02-24 14:45:18,71.99
TX100077,CUST1011,Notebook,Stationery,2.69,1,2026-04-13 16:08:18,2.69
TX100078,CUST1070,Desk Chair,Furniture,134.99,2,2026-05-20 14:38:18,269.98
TX100079,CUST1004,Headphones,Electronics,76.49,1,2026-04-09 12:45:18,76.49
TX100080,CUST1163,Toaster,Appliances,26.99,1,2026-05-07 18:34:18,26.99
TX100081,CUST1138,Headphones,Electronics,80.99,1,2026-04-19 03:11:18,80.99
TX100082,CUST1052,Smartphone,Electronics,629.99,2,2026-02-20 23:44:18,1259.98
TX100083,CUST1193,Headphones,Electronics,76.49,3,2026-02-20 08:54:18,229.47
TX100084,CUST1016,Desk Chair,Furniture,134.99,2,2026-04-16 04:13:18,269.98
TX100085,CUST1175,Desk Chair,Furniture,149.99,2,2026-03-19 02:08:18,299.98
TX100086,CUST1200,Toaster,Appliances,26.99,1,2026-03-26 00:36:18,26.99
TX100087,CUST1089,Smartphone,Electronics,629.99,3,2026-04-29 21:38:18,1889.97
TX100088,CUST1028,Laptop,Electronics,999.99,2,2026-05-15 02:02:18,1999.98
TX100089,CUST1084,Desk Chair,Furniture,127.49,3,2026-03-19 09:31:18,382.47
TX100090,CUST1010,Backpack,Accessories,39.99,1,2026-05-13 07:47:18,39.99
TX100091,CUST1033,Toaster,Appliances,25.49,1,2026-03-02 04:12:18,25.49
TX100092,CUST1073,Smartphone,Electronics,594.99,1,2026-03-28 10:25:18,594.99
TX100093,CUST1086,Pen Set,Stationery,4.24,1,2026-04-22 19:37:18,4.24
TX100094,CUST1117,Running Shoes,Apparel,79.99,3,2026-03-02 18:40:18,239.97
TX100095,CUST1149,Notebook,Stationery,2.69,3,2026-04-14 12:28:18,8.07
TX100096,CUST1072,Notebook,Stationery,2.69,3,2026-05-19 07:42:18,8.07
TX100097,CUST1011,Backpack,Accessories,39.99,3,2026-03-31 16:12:18,119.97
TX100098,CUST1137,Toaster,Appliances,26.99,1,2026-03-28 16:32:18,26.99
TX100099,CUST1017,Coffee Maker,Appliances,49.99,3,2026-05-07 09:09:18,149.97
